Year,Month,Item,Quantity,Unit
1986,January,Crude Production,36394,Barrels/Day
1986,January,Crude Import,130765,Barrels/Day
1986,January,Crude Throughput,167640,Barrels/Day
1986,January,Oil Products Production,188981,Barrels/Day
1986,January,Oil Products Import,45463,Barrels/Day
1986,January,Oil Products Supply,234444,Barrels/Day
1986,January,Oil Products Consumption,236592,Barrels/Day
1986,January,Mogas Consumption,36898,Barrels/Day
1986,January,Diesel Oil Consumption,105548,Barrels/Day
1986,January,Others Consumption,94145,Barrels/Day
1986,January,Oil Products Demand,236592,Barrels/Day
1986,February,Crude Production,36323,Barrels/Day
1986,February,Crude Import,140657,Barrels/Day
1986,February,Crude Throughput,185835,Barrels/Day
1986,February,Oil Products Production,195232,Barrels/Day
1986,February,Oil Products Import,50098,Barrels/Day
1986,February,Oil Products Supply,245330,Barrels/Day
1986,February,Oil Products Consumption,230499,Barrels/Day
1986,February,Mogas Consumption,37934,Barrels/Day
1986,February,Diesel Oil Consumption,104468,Barrels/Day
1986,February,Others Consumption,88096,Barrels/Day
1986,February,Oil Products Demand,230499,Barrels/Day
1986,March,Crude Production,36765,Barrels/Day
1986,March,Crude Import,176945,Barrels/Day
1986,March,Crude Throughput,181892,Barrels/Day
1986,March,Oil Products Production,192149,Barrels/Day
1986,March,Oil Products Import,24071,Barrels/Day
1986,March,Oil Products Supply,216220,Barrels/Day
1986,March,Oil Products Consumption,237694,Barrels/Day
1986,March,Mogas Consumption,38185,Barrels/Day
1986,March,Diesel Oil Consumption,105195,Barrels/Day
1986,March,Others Consumption,94312,Barrels/Day
1986,March,Oil Products Demand,237694,Barrels/Day
1986,April,Crude Production,31269,Barrels/Day
1986,April,Crude Import,155277,Barrels/Day
1986,April,Crude Throughput,185381,Barrels/Day
1986,April,Oil Products Production,194937,Barrels/Day
1986,April,Oil Products Import,60284,Barrels/Day
1986,April,Oil Products Supply,255222,Barrels/Day
1986,April,Oil Products Consumption,238464,Barrels/Day
1986,April,Mogas Consumption,41556,Barrels/Day
1986,April,Diesel Oil Consumption,102542,Barrels/Day
1986,April,Others Consumption,94364,Barrels/Day
1986,April,Oil Products Demand,238464,Barrels/Day
1986,May,Crude Production,35300,Barrels/Day
1986,May,Crude Import,122429,Barrels/Day
1986,May,Crude Throughput,183815,Barrels/Day
1986,May,Oil Products Production,192929,Barrels/Day
1986,May,Oil Products Import,46185,Barrels/Day
1986,May,Oil Products Supply,239114,Barrels/Day
1986,May,Oil Products Consumption,226747,Barrels/Day
1986,May,Mogas Consumption,38365,Barrels/Day
1986,May,Diesel Oil Consumption,100133,Barrels/Day
1986,May,Others Consumption,88248,Barrels/Day
1986,May,Oil Products Demand,226747,Barrels/Day
1986,June,Crude Production,34932,Barrels/Day
1986,June,Crude Import,164559,Barrels/Day
1986,June,Crude Throughput,149912,Barrels/Day
1986,June,Oil Products Production,155796,Barrels/Day
1986,June,Oil Products Import,58798,Barrels/Day
1986,June,Oil Products Supply,214594,Barrels/Day
1986,June,Oil Products Consumption,219537,Barrels/Day
1986,June,Mogas Consumption,35554,Barrels/Day
1986,June,Diesel Oil Consumption,94205,Barrels/Day
1986,June,Others Consumption,89776,Barrels/Day
1986,June,Oil Products Demand,219537,Barrels/Day
1986,July,Crude Production,33982,Barrels/Day
1986,July,Crude Import,171141,Barrels/Day
1986,July,Crude Throughput,193546,Barrels/Day
1986,July,Oil Products Production,200654,Barrels/Day
1986,July,Oil Products Import,50539,Barrels/Day
1986,July,Oil Products Supply,251193,Barrels/Day
1986,July,Oil Products Consumption,236185,Barrels/Day
1986,July,Mogas Consumption,41725,Barrels/Day
1986,July,Diesel Oil Consumption,99061,Barrels/Day
1986,July,Others Consumption,95399,Barrels/Day
1986,July,Oil Products Demand,236185,Barrels/Day
1986,August,Crude Production,33623,Barrels/Day
1986,August,Crude Import,95559,Barrels/Day
1986,August,Crude Throughput,126030,Barrels/Day
1986,August,Oil Products Production,137055,Barrels/Day
1986,August,Oil Products Import,32749,Barrels/Day
1986,August,Oil Products Supply,169805,Barrels/Day
1986,August,Oil Products Consumption,221002,Barrels/Day
1986,August,Mogas Consumption,38694,Barrels/Day
1986,August,Diesel Oil Consumption,92930,Barrels/Day
1986,August,Others Consumption,89377,Barrels/Day
1986,August,Oil Products Demand,221002,Barrels/Day
1986,September,Crude Production,33152,Barrels/Day
1986,September,Crude Import,163922,Barrels/Day
1986,September,Crude Throughput,180887,Barrels/Day
1986,September,Oil Products Production,188945,Barrels/Day
1986,September,Oil Products Import,28998,Barrels/Day
